LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2023-11-13 14:41:54,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:54,1900-01-00 00:00:00,,00:0E:58:24:63:70,-74,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:54,1900-01-00 00:00:00,,00:0E:58:24:63:70,-72,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:54,1900-01-00 00:00:00,,00:0E:58:24:63:70,-74,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:54,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:54,1900-01-00 00:00:00,,54:2A:1B:D9:BD:BA,-76,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:54,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:54,1900-01-00 00:00:00,,54:2A:1B:D9:BD:BB,-76,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:54,1900-01-00 00:00:00,,54:2A:1B:D9:BD:BA,-76,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:54,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:54,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:54,1900-01-00 00:00:00,,74:C6:3B:00:5C:9E,-46,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:54,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:54,1900-01-00 00:00:00,,54:2A:1B:D9:BD:BA,-72,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:54,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:54,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-42, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:54,1900-01-00 00:00:00,,00:0E:58:24:63:70,-78,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:54,1900-01-00 00:00:00,,00:0E:58:24:63:70,-76,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:54,1900-01-00 00:00:00,,74:C6:3B:00:5C:9E,-46,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:54,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:54,1900-01-00 00:00:00,,54:2A:1B:D9:BD:BB,-76,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:54,1900-01-00 00:00:00,,54:2A:1B:D9:BD:BB,-78,,0.000000,0.000000,0.000,0.000,Client
2023-11-13 14:41:54,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:54,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:55,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:55,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:55,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-44, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2023-11-13 14:41:55,1900-01-00 00:00:00,Look88,42:5E:F6:EB:B5:4F,-46, WPA2 ,0.000000,0.000000,0.000,0.000,AP
